AAPL,MSFT
2020-06-09,0.026148834228515626,0.0142620849609375
2020-06-10,0.0219769287109375,0.0697247314453125
2020-06-11,-0.04206649780273437,-0.104686279296875
2020-06-12,0.007201309204101562,0.014558868408203125
2020-06-15,0.010404891967773437,0.011884918212890625
2020-06-16,0.022573013305664063,0.0458563232421875
2020-06-17,-0.0012168121337890626,0.00663543701171875
2020-06-18,0.000347747802734375,0.020600738525390624
2020-06-19,-0.004991455078125,-0.011587982177734374
2020-06-22,0.022721939086914063,0.053680419921875
2020-06-23,0.019021759033203123,0.013271331787109375
2020-06-24,-0.01606666564941406,-0.040309600830078125
2020-06-25,0.011869964599609375,0.0247601318359375
2020-06-26,-0.027837448120117188,-0.039715576171875
2020-06-29,0.0202386474609375,0.0208978271484375
